	목적 :	에이전트가 카메라를 컨트롤하여 차량을 찾고 주차면과 매핑하여 어떤 주차면에 어떤 차량번호를 가지고 있는 차량이 존재하는지 알아내고 주차장의 입출차를 관리하기 위함이다. ( 주차면 관리를 포함한다. )	
	에이전트 :	에이전트는 크게 SetingAgent,  Action Agent, Data Manager Agent로 구분하고 세부적으로 더 나눌수 있다.	
	Setting Agent :	카메라의 프리셋 및 주차면 셋팅 및 전체 주차면 인덱스 매핑	
	Action Agent :	카메라를 컨트롤하여 ptz값으로 이동,확대하고 번호판 중심으로 센터라이징. 번호판 인식	
	Data Manager Agent : Action Agent를 컨트롤하고, 입/출차 관리, 데이터를 DB에 저장	
			
순번	Agent 구분	할일	
1	Setting	주차된 차량을 검지해서 주차영역(주차면)을 확보한다. (ROI)	
2	Setting	주차면이 있을경우 주차면을 인식하여 영역을 확보한다.(ROI)	
3	Setting	카메라의 프리셋 셋팅이 있어야 한다. ( 셋팅을 위한 초기 바라보는 방향 ptz값)	
4	Setting	차량의 번호판을 기준으로 중심점을 주차면 영역으로 설정한다.	
5	Setting	프리셋별 주차며 인덱스를 부여한다.	
6	Setting	프리셋이 여러게 일경우 모든 프리셋을 돌면서 주차영역을 확보한다.	
7	Setting	전체 주차면 슬롯 인덱스는 모든 카메라의 모든 프리셋의 주차면을 정렬하여 매핑한다. 	
8	Setting	주차면은 찾기는 초기 카메라 위치를 설정하고 그주위를 카메라를 순회 시켜 차량이 존재하는 것을 기준으로 주차면을 찾아 매핑을 한다.	
9	Action	카메라로 부터 영상정보(이미지)를 받아 차량을 찾아 위치를 알아낸다. 차량위치를 찾아서 셋팅된 주차면 위치 찾아낸다.	
10	Action	찾은 차량들을 순서대로 카메라 센터라이징( 번호판 중심 이동/확대)을 한다. - 초기 한번만 실행하고 입차가 되었을때만(이벤트가 발생) 했을때만 센터라이징을 한다. 	
11	Action	LPD를 이용해 찾은 차량의 번호판을 찾는다.	
12	Action	번호판 중심으로 Pan, Tilt를 조정하고, 줌을 이용해 번호판의 글씨가 잘 보이게 확대한다.	
13	Action	번호판의 넓이가 이미지 전체회면의 약 20% 이상되게 확대한다.	
14	Action	LPR을 이용해 차량 번호를 인지, 검출한다.	
15	Action	찾아낸 차량 모두 차량번호를 검출한다.	
16	Action	찾은 차량 번호는 메니저agent에 보낸다.( 카메라 idx, 프리셋 idx, 주차면 idx,  차량번호 등)	
17	Action	여기서 카메라는 실제 ptz카메라와 시뮬레이터의 카메라 두개 모두를 가리킨다.	
18	Action	차량이미지를 분석해 기존과 프리셋의 차량갯수가 다르거나 차량이 달라진 경우 정밀조사를 해야 한다.	
19	Action	차량이 추가 되었으면 센터라이징을 하여 차량번호를 찾고, 비었으면 빈곳의 차량을 나갔다고 메니저(에이전트)에게 알린다.	
20	Action	프리셋의 주차면에 입차/출차가 발생하면 메니저(에이전트)에게 알린다.	
21	Data Manager	차량의 입출차를 관리한다.	
22	Data Manager	입출차 이벤트를 최종 판단하고 관리한다.	
23	Data Manager	이벤트가 발생시 현상황과 이전상황을 DB를 통해 확인후 ActionAgent에게 행동지침을 하달한다.	
24	Data Manager	이벤트 정보를 ActionAgent으로 부터 받아서 기존정보와 비교 판단하여 DB에 저장한다. 	
25	Data Manager	ActionAgent에게 어떤 카메라, 어떤 프리셋 또는 주차면까지 가서 확인 할지를 수시로 점검하고 지시한다.	
26	Data Manager	GLPR 카메라로 부터 입/출차 정보를 받을수 있다. 입출구의 정적 카메라임 ( 2차 작업으로 대기)	
