24회차 접지선 오차 실측 — 대상 v1 · 캐시 reports/detcache_r24
dy 부호: + = 화면 아래(카메라 쪽 · 그림자 누출 방향) / − = 위

  1:1 seg#0 ↔ 22-13.50.48  접지선dy=-68.61026454080763 px  방위오차=50.121285687524924 도
  1:1 seg#1 ↔ 2-16.25.40  접지선dy=-47.46781714694305 px  방위오차=57.09099859927351 도
  1:1 seg#2 ↔ 4-16.25.42  접지선dy=-69.95844178892378 px  방위오차=5.008592546841585 도
  1:1 seg#3 ↔ 3-16.25.41  접지선dy=-46.904792846538726 px  방위오차=66.6498103293318 도
  1:1 seg#4 ↔ 0-16.25.24  접지선dy=-11.018082793134681 px  방위오차=9.313506419048432 도
  1:1 seg#5 ↔ 17-15.38.09  접지선dy=-153.014357276091 px  방위오차=7.712698833270825 도
  1:1 seg#6 ↔ 5-16.25.43  접지선dy=-80.98402941235463 px  방위오차=1.543788953141434 도
  1:1 seg#7 ↔ 6-16.25.44  접지선dy=-16.733575145963414 px  방위오차=3.7525830079452276 도
  1:2 seg#0 ↔ 14-17.31.18  접지선dy=-172.44401793009183 px  방위오차=57.51828134373368 도
  1:2 seg#1 ↔ 17-15.38.09  접지선dy=-125.5062516929695 px  방위오차=10.95435098530129 도
  1:2 seg#2 ↔ 15-17.31.31  접지선dy=-124.31074155442445 px  방위오차=39.34977119442373 도
  1:2 seg#3 ↔ 18-15.38.13  접지선dy=-143.61661781979092 px  방위오차=14.526904368216895 도
  1:2 seg#4 ↔ 4-16.25.42  접지선dy=-19.197085676795155 px  방위오차=4.569068963739826 도
  1:2 seg#5 ↔ 10-17.28.22  접지선dy=-28.450642787560696 px  방위오차=36.12488629073127 도
  1:2 seg#6 ↔ 16-17.31.34  접지선dy=-227.83092786503232 px  방위오차=14.535887194022937 도
  1:2 seg#7 ↔ 19-15.38.15  접지선dy=-184.75646542657324 px  방위오차=60.55700481805312 도
  1:2 seg#8 ↔ 13-17.31.16  접지선dy=-58.598220784325235 px  방위오차=70.8504660074525 도
  1:2 seg#9 ↔ 4-16.25.42  접지선dy=-28.662945897453966 px  방위오차=35.363004072413226 도
  1:3 seg#0 ↔ 22-15.39.28  접지선dy=-57.73324837772884 px  방위오차=0.2704011496752948 도
  2:1 seg#0 ↔ 10-17.28.22  접지선dy=-85.95949316366875 px  방위오차=8.229075034859362 도
  2:1 seg#1 ↔ 7-16.54.21  접지선dy=-54.08691568363929 px  방위오차=58.13237750905052 도
  2:1 seg#2 ↔ 9-17.28.12  접지선dy=-47.95060197911778 px  방위오차=38.225500425799225 도
  2:1 seg#3 ↔ 12-17.28.48  접지선dy=-84.26140335186244 px  방위오차=11.296604723826004 도
  2:1 seg#4 ↔ 8-17.27.50  접지선dy=-36.17818293024061 px  방위오차=26.742876924523184 도
  2:1 seg#5 ↔ 20-15.38.17  접지선dy=-156.59243716642152 px  방위오차=81.20361214245227 도
  2:1 seg#6 ↔ 20-15.38.17  접지선dy=-33.43701813586176 px  방위오차=14.81449516783417 도
  2:1 seg#7 ↔ 7-16.54.21  접지선dy=386.92055279978354 px  방위오차=23.464674583183943 도
  2:2 seg#0 ↔ 15-17.31.31  접지선dy=-187.15201431634432 px  방위오차=57.147964951969264 도
  2:2 seg#1 ↔ 16-17.31.34  접지선dy=-182.70314702733197 px  방위오차=74.26287958846582 도
  2:2 seg#2 ↔ 18-15.38.13  접지선dy=-263.682475638023 px  방위오차=0.9079243579425559 도
  2:2 seg#3 ↔ 14-17.31.18  접지선dy=-185.72232991340604 px  방위오차=48.986128036105576 도
  2:2 seg#4 ↔ 20-15.38.17  접지선dy=-222.91735894827718 px  방위오차=14.50211801212457 도
  2:2 seg#5 ↔ 14-17.31.18  접지선dy=-117.38004796433268 px  방위오차=35.46133681947408 도
  2:2 seg#6 ↔ 19-15.38.15  접지선dy=-232.7858805204096 px  방위오차=1.387720820008068 도
  2:2 seg#7 ↔ 22-15.39.28  접지선dy=-179.45762250427384 px  방위오차=61.373257603237484 도
  2:2 seg#8 ↔ 17-15.38.09  접지선dy=-161.85833284260355 px  방위오차=51.222189269688066 도

★ 접지선 y 편의(px): n=36 min=-263.682475638023 median=-85.1104482577656 p90=-19.197085676795155 max=386.92055279978354 mean=-97.52786766804259
★ 접지선 |y 편의|(px): n=36 min=11.018082793134681 median=101.66977056400071 p90=227.83092786503232 max=386.92055279978354 mean=119.02345393469724
★ 길이축 방위 오차(도): n=36 min=0.2704011496752948 median=31.052940498468203 p90=66.6498103293318 max=81.20361214245227 mean=32.032611853741265
